% Lao word list with break points
% !! = armageddon (7500)
% ! = nuclear (5000)
% ~ = emergency (1000)
% ~~ = discouraged (100)
% ~~~ = neutral (0)
% ~~~~ = encouraged (-200)
% ~~~~~ = excellent (-400)
% ~~~~~~ = superb (-1000)
% ~S~ = \hspace{0.4em plus 0.2em minus 0.1em}\allowbreak

ກກ| ກກ %
ຮ່ຳຮຽນ| ຮ່ຳ~ຮຽນ %
ຮ້ອງ| ຮ້ອງ %
ຮ້ອງຂໍ| ຮ້ອງ~~ຂໍ %
ຮ້ອງເພງ| ຮ້ອງ~~ເພງ %
ຮ້ອງໂຮ| ຮ້ອງ~~ໂຮ %
ຮ້ອງໂຮ່| ຮ້ອງ~~ໂຮ່ %
ຮ້ອງໄຫ້| ຮ້ອງ~~ໄຫ້ %
ຮ້ອຍ| ຮ້ອຍ %
ຮ້ອນ| ຮ້ອນ %
ຮ້ອນຮົນ| ຮ້ອນ~~ຮົນ %
ຮ້າງ| ຮ້າງ %
ຮ້າຍ| ຮ້າຍ %
ຮ້າຍກາດ| ຮ້າຍ~~ກາດ %
ຮ້າຍແຮງ| ຮ້າຍ~~ແຮງ %
ຮ້ານ| ຮ້ານ %
ຮໍແລນ| ຮໍແລນ % name
ເກງ| ເກງ %
ເກງກົວ| ເກງ!ກົວ %
ເກງຂາມ| ເກງຂາມ %
ເກັບ| ເກັບ %
ເກັບກ່ຽວ| ເກັບ~ກ່ຽວ %
ເກັບຫອມລອມລິບ| ເກັບ~~ຫອມ~~ລອມ~~ລິບ %
ເກັ່ງ| ເກັ່ງ %
ເກັ່ງກ້າ| ເກັ່ງ~ກ້າ %
ເກາະ| ເກາະ %
ເກາະຄອນນອນຫຼັບ| ເກາະ~~ຄອນ~~ນອນ~~ຫຼັບ %
ເກີດ| ເກີດ %
ເກີດຂຶ້ນ| ເກີດ~~ຂຶ້ນ %
ເກີນ| ເກີນ %
ເກີບ| ເກີບ %
ເກືອບ| ເກືອບ %
ເກົ່າ| ເກົ່າ %
ເກົ່າແກ່| ເກົ່າ~ແກ່ %
ເກົ້າ| ເກົ້າ %
ເກຼັກກໍຣີ| ເກຼັກກໍຣີ % Gregory, name of Pope
ເຂດ| ເຂດ %
ເຂັນ| ເຂັນ %
ເຂັ່ນຂ້າ| ເຂັ່ນ~ຂ້າ %
ເຂັ້ມ| ເຂັ້ມ %
ເຂັ້ມຂົ້ນ| ເຂັ້ມ~ຂົ້ນ %
ເຂັ້ມງວດ| ເຂັ້ມ~ງວດ %
ເຂັ້ມແຂງ| ເຂັ້ມ~ແຂງ %
ເຂີນ| ເຂີນ %
ເຂີນອາຍ| ເຂີນ~ອາຍ %
ເຂື່ອນ| ເຂື່ອນ %
ເຂົາ| ເຂົາ %
ເຂົ່າ| ເຂົ່າ %
ເຂົ້າ| ເຂົ້າ %
ເຂົ້າຈີ່| ເຂົ້າ~~ຈີ່ %
ເຂົ້າສາລີ| ເຂົ້າ~~ສາລີ %
ເຂົ້າຮ່ວມ| ເຂົ້າ~~ຮ່ວມ %
ເຂົ້າແກບ| ເຂົ້າ~~ແກບ %
ເຂົ້າແຊກ| ເຂົ້າ~~ແຊກ %
ເຂົ້າໃຈ| ເຂົ້າ~~ໃຈ %
ເຄຣຸບ| ເຄຣຸບ %
ເຄັດລັບ| ເຄັດລັບ %
ເຄັດເຊມາເນ| ເຄັດເຊ­ມາເນ % Gethsemane soft-hyphen
ເຄັ່ງ| ເຄັ່ງ %
ເຄັ່ງຂຶມ| ເຄັ່ງ~ຂຶມ %
ເຄັ່ງຄັດ| ເຄັ່ງ~ຄັດ %
ເຄາະ| ເຄາະ %
ເຄິ່ງ| ເຄິ່ງ %
ເຄີຍ| ເຄີຍ %
ເຄືອ| ເຄືອ %
ເຄືອຂ່າຍ| ເຄືອ~ຂ່າຍ %
ເຄືອງ| ເຄືອງ %
ເຄືອງໃຈ| ເຄືອງ~ໃຈ %
ເຄືອອະງຸ່ນ| ເຄືອ~~ອະງຸ່ນ %
ເຄື່ອ| ເຄື່ອ %
ເຄື່ອງ| ເຄື່ອງ %
ເຄື່ອງບູຊາ| ເຄື່ອງ~~ບູຊາ %
ເຄື່ອງຜອງ| ເຄື່ອງ~~ຜອງ %
ເຄື່ອງຫອມ| ເຄື່ອງ~~ຫອມ %
ເຄື່ອນ| ເຄື່ອນ %
ເຄື່ອນຍ້າຍ| ເຄື່ອນ~~ຍ້າຍ %
ເຄື່ອນໄຫວ| ເຄື່ອນ~~ໄຫວ %
ເຄົາລົບ| ເຄົາລົບ %
ເຄົ້າຄວາມ| ເຄົ້າ~~ຄວາມ %
ເງິນ| ເງິນ %
ເງິນຄຳ| ເງິນ~~ຄຳ %
ເງິນຄຳກຳແກ້ວ| ເງິນ~ຄຳ~~ກຳ~~ແກ້ວ %
ເງິນເດືອນ| ເງິນ~~ເດືອນ %
ເງິນແທ່ງ| ເງິນ~~ແທ່ງ %
ເງີຍ| ເງີຍ %
ເງື່ອນງຳ| ເງື່ອນ~ງຳ %
ເງື່ອນໄຂ| ເງື່ອນ~ໄຂ %
ເງື້ອມ| ເງື້ອມ %
ເງົາ| ເງົາ %
ເຈ| ເຈ %
ເຈຍ| ເຈຍ %
ເຈດຈຳນົງ| ເຈດຈຳນົງ %
ເຈດຕະນາ| ເຈດຕະນາ %
ເຈັດ| ເຈັດ %
ເຈັບ| ເຈັບ %
ເຈັບປວດ| ເຈັບ~ປວດ %
ເຈັບໄຂ້ໄດ້ປ່ວຍ| ເຈັບ~~ໄຂ້~~ໄດ້~~ປ່ວຍ %
ເຈາະ| ເຈາະ %
ເຈິ| ເຈິ %
ເຈີດ| ເຈີດ %
ເຈີດຈ້າ| ເຈີດ~ຈ້າ %
ເຈີມ| ເຈີມ %
ເຈືອ| ເຈືອ %
ເຈືອປົນ| ເຈືອ~ປົນ %
ເຈື່ອນ| ເຈື່ອນ %
ເຈົ້າ| ເຈົ້າ %
ເຈົ້າຂອງ| ເຈົ້າ~ຂອງ %
ເຈົ້າຂຸນມູນນາຍ| ເຈົ້າ~~ຂຸນ~~~ມູນ~~ນາຍ %
ເຈົ້າບ່າວ| ເຈົ້າ~ບ່າວ %
ເຈົ້າສາວ| ເຈົ້າ~ສາວ %
ເຈົ້າເລ່| ເຈົ້າ~ເລ່ %
ເຈົ້າແຂວງ| ເຈົ້າ~ແຂວງ %
ເຈົ້າໜ້າທີ່| ເຈົ້າ~~ໜ້າ~~ທີ່ %
ເຊກາຣີຢາ| ເຊກາຣີຢາ % name
ເຊຕຽວ| ເຊຕຽວ % name
ເຊຟານີຢາ| ເຊຟານີຢາ % name
ເຊັດ| ເຊັດ %
ເຊັນ| ເຊັນ %
ເຊັ່ນ| ເຊັ່ນ %
ເຊັ່ນດຽວກັນ| ເຊັ່ນ~~ດຽວ~~ກັນ %
ເຊັ່ນນີ້| ເຊັ່ນ~ນີ້ %
ເຊາະ| ເຊາະ %
ເຊິ່ງ| ເຊິ່ງ %
ເຊິ່ງກັນແລະກັນ| ເຊິ່ງ~~ກັນ~~~ແລະ~~ກັນ %
ເຊີດ| ເຊີດ %
ເຊີດຊູ| ເຊີດ~~ຊູ %
ເຊີນ| ເຊີນ %
ເຊີນຊວນ| ເຊີນ~~ຊວນ %
ເຊີ້ຊ້າ| ເຊີ້~ຊ້າ %
ເຊື່ອ| ເຊື່ອ %
ເຊື່ອງ| ເຊື່ອງ %
ເຊື່ອງຊ້ອນ| ເຊື່ອງ~~ຊ້ອນ %
ເຊື່ອຍຊາ| ເຊື່ອຍ~~ຊາ %
ເຊື່ອຖື| ເຊື່ອ~ຖື %
ເຊື່ອມ| ເຊື່ອມ %
ເຊື່ອສັດທາ| ເຊື່ອ~~ສັດ!ທາ %
ເຊື່ອໝັ້ນ| ເຊື່ອ~~ໝັ້ນ %
ເຊື້ອ| ເຊື້ອ %
ເຊື້ອສາຍ| ເຊື້ອ~ສາຍ %
ເຊື້ອເຊີນ| ເຊື້ອ~ເຊີນ %
ເຊື້ອແປ້ງ| ເຊື້ອ~~ແປ້ງ %
ເຊົາ| ເຊົາ %
ເຊົາເມື່ອຍ| ເຊົາ~ເມື່ອຍ %
ເຊົ່າ| ເຊົ່າ %
ເຊົ້າ| ເຊົ້າ %
ເຊເບດາຍ| ເຊເບດາຍ % Zebadie (Father of James and John), name
ເຊເວີນ| ເຊເວີນ % River name
ເຍາະເຍີ້ຍ| ເຍາະ~ເຍີ້ຍ %
ເຍີ້ຍຫຍັນ| ເຍີ້ຍ~~ຫຍັນ %
ເຍືອງ| ເຍືອງ %
ເຍົາ| ເຍົາ %
ເຍົາໄວ| ເຍົາ~~ໄວ %
ເດຊານຸພາບ| ເດຊານຸພາບ %
ເດດ| ເດດ %
ເດນມາກ| ເດນມາກ %
ເດລະສານ| ເດລະສານ %
ເດັກ| ເດັກ %
ເດັກນ້ອຍ| ເດັກ~ນ້ອຍ %
ເດັດ| ເດັດ %
ເດັດຂາດ| ເດັດ~ຂາດ %
ເດັດດ່ຽວ| ເດັດ~ດ່ຽວ %
ເດັ່ນ| ເດັ່ນ %
ເດັ່ນຊັດ| ເດັ່ນ~ຊັດ %
ເດີ| ເດີ %
ເດີນ| ເດີນ %
ເດີນທາງ| ເດີນ~~ທາງ %
ເດີມ| ເດີມ %
ເດີ່ນ| ເດີ່ນ %
ເດີ້| ເດີ້ %
ເດືອດ| ເດືອດ %
ເດືອນ| ເດືອນ %
ເດື່ອ| ເດື່ອ %
ເດົາ| ເດົາ %
ເຕະ| ເຕະ %
ເຕັມ| ເຕັມ %
ເຕັມທີ່| ເຕັມ~ທີ່ %
ເຕັມລົ້ນ| ເຕັມ~ລົ້ນ %
ເຕັ້ນ| ເຕັ້ນ %
ເຕີບ| ເຕີບ %
ເຕີບໂຕ| ເຕີບໂຕ %
ເຕີມ| ເຕີມ %
ເຕືອນ| ເຕືອນ %
ເຕົາ| ເຕົາ %
ເຕົາຫຼອມ| ເຕົາ~ຫຼອມ %
ເຕົ້າ| ເຕົ້າ %
ເຕົ້າໂຮມ| ເຕົ້າ!ໂຮມ %
ເຖາະ| ເຖາະ %
ເຖິງ| ເຖິງ %
ເຖິງແມ່ນ| ເຖິງ~~ແມ່ນ %
ເຖິງແມ່ນວ່າ| ເຖິງ~~ແມ່ນ~~ວ່າ %
ເຖີດ| ເຖີດ %
ເຖົ້າ| ເຖົ້າ %
ເທ| ເທ %
ເທດ| ເທດ %
ເທດສະການ| ເທດ­ສະການ % soft-hyphen
ເທດສະໜາ| ເທດ­ສະໜາ % soft-hyphen
ເທບ| ເທບ %
ເທບທິດາ| ເທບ­ທິດາ %  soft-hyphen
ເທບພະເຈົ້າ| ເທບ­ພະເຈົ້າ %  soft-hyphen
ເທວະດາ| ເທວະດາ %
ເທວະເທບ| ເທວະ­ເທບ %  soft-hyphen
ເທສະໂລນິກ| ເທສະ­ໂລນິກ % name soft-hyphen
ເທັດ| ເທັດ %
ເທາະ| ເທາະ %
ເທິງ| ເທິງ %
ເທີດທູນ| ເທີດ~ທູນ %
ເທີທູລຽນ| ເທີທູລຽນ % name
ເທີນ| ເທີນ %
ເທີ້ນ| ເທີ້ນ %
ເທືອກ| ເທືອກ %
ເທື່ອ| ເທື່ອ %
ເທື່ອລະ| ເທື່ອ~~ລະ %
ເທົ່າ| ເທົ່າ %
ເທົ່າທຽມ| ເທົ່າ~~ທຽມ %
ເທົ່ານັ້ນ| ເທົ່າ~ນັ້ນ %
ເທົ່ານີ້| ເທົ່າ~ນີ້ %
ເທົ້າ| ເທົ້າ %
ເນບູກາດເນັດຊາ| ເນບູກາດ­ເນັດຊາ % soft-hyphen
ເນລະຄຸນ| ເນລະຄຸນ %
ເນລະເທດ| ເນລະເທດ %
ເນັ້ນ| ເນັ້ນ %
ເນີນພູ| ເນີນ~~ພູ %
ເນີນເຂົາ| ເນີນ~~ເຂົາ %
ເນື່ອງ| ເນື່ອງ %
ເນື່ອງຈາກ| ເນື່ອງ~ຈາກ %
ເນື່ອງນັນ| ເນື່ອງ~ນັນ %
ເນື້ອ| ເນື້ອ %
ເນົ່າ| ເນົ່າ %
ເນເທີແລນ| ເນ­ເທີ­ແລນ % soft-hyphen
ເນເຫມີຢາ| ເນເຫມີຢາ % name
ເນໂຣ| ເນໂຣ %
ເບຍ| ເບຍ %
ເບລີອາ| ເບລີອາ % Beliel
ເບັດເລເຮັມ| ເບັດ­ເລເຮັມ % name soft-hyphen
ເບັດເອນ| ເບັດເອນ % Bethel
ເບິກ| ເບິກ %
ເບິ່ງ| ເບິ່ງ %
ເບິ່ງຂ້າມ| ເບິ່ງ~ຂ້າມ %
ເບິ່ງຄື| ເບິ່ງ~ຄື %
ເບິ່ງດູ| ເບິ່ງ~ດູ %
ເບິ່ງແຍງ| ເບິ່ງ!ແຍງ %
ເບິ່ງແມ| ເບິ່ງ!!ແມ %
ເບີກ| ເບີກ %
ເບີກທາງ| ເບີກ~ທາງ %
ເບີກບານ| ເບີກ~ບານ %
ເບີດ| ເບີດ %
ເບື່ອ| ເບື່ອ %
ເບື່ອໜ່າຍ| ເບື່ອໜ່າຍ %
ເບື້ອງ| ເບື້ອງ %
ເບື້ອງຕົ້ນ| ເບື້ອງ~ຕົ້ນ %
ເບື້ອງໜ້າ| ເບື້ອງ~ໜ້າ %
ເບົາ| ເບົາ %
ເບົາບາງ| ເບົາບາງ %
ເປຣິຊິມ| ເປຣິຊິມ %
ເປັນ| ເປັນ %
ເປັນຕາ| ເປັນ~ຕາ %
ເປັນຕາຢ້ານ| ເປັນ~~ຕາ~~ຢ້ານ %
ເປັນຕາໜ້າ| ເປັນ~ຕາ~~ໜ້າ %
ເປັນທຳ| ເປັນ~ທຳ %
ເປັນຟືນເປັນໄຟ| ເປັນ~~ຟືນ~~ເປັນ~~ໄຟ %
ເປັນລາງ| ເປັນ~ລາງ %
ເປັນວິນ| ເປັນ~~ວິນ %
ເປັນຫ່ວງ| ເປັນ~~ຫ່ວງ %
ເປັ່ງ| ເປັ່ງ %
ເປັ່ງສຽງ| ເປັ່ງ~~~ສຽງ %
ເປິເປື້ອນ| ເປິ~ເປື້ອນ %
ເປີດ| ເປີດ %
ເປີດເຜີຍ| ເປີດ~~ເຜີຍ %
ເປີດໂປງ| ເປີດ~~ໂປງ %
ເປືອກ| ເປືອກ %
ເປືອງ| ເປືອງ %
ເປືອຍ| ເປືອຍ %
ເປື່ອຍ| ເປື່ອຍ %
ເປື່ອຍເນົ່າ| ເປື່ອຍ~~ເນົ່າ %
ເປື້ອນ| ເປື້ອນ %
ເປື້ອນເປິ| ເປື້ອນເປິ %
ເປົ່າ| ເປົ່າ %
ເປົ່າປ່ຽວ| ເປົ່າ~ປ່ຽວ %
ເປົ່າແປນ| ເປົ່າແປນ %
ເປົ້າ| ເປົ້າ %
ເປົ້າໝາຍ| ເປົ້າ~~ໝາຍ %
ເປເຣຍ| ເປເຣຍ % name
ເປໂຕ| ເປໂຕ % name
ເຜັດ| ເຜັດ %
ເຜີຍ| ເຜີຍ %
ເຜີຍພຣະທຳ| ເຜີຍ!!ພຣະທຳ %
ເຜີຍແຜ່| ເຜີຍແຜ່ %
ເຜີນ| ເຜີນ %
ເຜົາ| ເຜົາ %
ເຜົາຜານ| ເຜົາຜານ %
ເຜົ່າ| ເຜົ່າ %
ເຝົ້າ| ເຝົ້າ %
ເຝົ້າລະວັງ| ເຝົ້າ~~ລະວັງ %
ເພງ| ເພງ %
ເພງຄ່ຳຄວນ| ເພງ~ຄ່ຳຄວນ %
ເພງສັນລະເສີນ| ເພງ~ສັນລະ­ເສີນ % soft-hyphen
ເພດ| ເພດ %
ເພດານ| ເພດານ %
ເພພັງ| ເພພັງ %
ເພັດ| ເພັດ %
ເພັດຊະຄາດ| ເພັດຊະຄາດ %
ເພັດນິນຈິນດາ| ເພັດ­ນິນ­ຈິນດາ % soft-hyphen
ເພັດພອຍ| ເພັດ~ພອຍ %
ເພັນເຕຄໍສະເຕ| ເພັນເຕ­ຄໍສະເຕ % Pentacost soft-hyphen
ເພາະ| ເພາະ %
ເພາະວ່າ| ເພາະ~ວ່າ %
ເພາະສະນັ້ນ| ເພາະ­ສະນັ້ນ % soft-hyphen
ເພິ່ງ| ເພິ່ງ %
ເພິ່ງພາ| ເພິ່ງ~ພາ %
ເພິ່ນ| ເພິ່ນ %
ເພີງ| ເພີງ %
ເພີດເພີນ| ເພີດ~ເພີນ %
ເພີ່ມ| ເພີ່ມ %
ເພີ່ມພູນ| ເພີ່ມພູນ %
ເພີ່ມເຕີມ| ເພີ່ມເຕີມ %
ເພີ້| ເພີ້ %
ເພີ້ຝັນ| ເພີ້~ຝັນ %
ເພື່ອ| ເພື່ອ %
ເພື່ອນ| ເພື່ອນ %
ເພື່ອນຝູງ| ເພື່ອນ~~ຝູງ %
ເພ່ງ| ເພ່ງ %
ເຟລິກ| ເຟລິກ % Felix (Bible name)
ເຟີນີເຈີ| ເຟີນີເຈີ %
ເຟືອງ| ເຟືອງ %
ເມກ| ເມກ %
ເມກໝອກ| ເມກ~ໝອກ %
ເມຍ| ເມຍ %
ເມດຕາ| ເມດຕາ %
ເມດຕາປານີ| ເມດຕາ~~ປານີ %
ເມດີແຕຣາເນ| ເມດີ­ແຕຣາເນ % Mediterranean soft-hyphen
ເມທໍດິສ| ເມທໍດິສ % name
ເມນ| ເມນ %
ເມນເຜົາສົບ| ເມນ~~ເຜົາ~~ສົບ %
ເມສາ| ເມສາ %
ເມສານ້ອຍ| ເມສາ!ນ້ອຍ %
ເມັດ| ເມັດ %
ເມັດພືດ| ເມັດ~~ພືດ %
ເມີນ| ເມີນ %
ເມີນເສີຍ| ເມີນ~ເສີຍ %
ເມືອ| ເມືອ %
ເມືອງ| ເມືອງ %
ເມືອງຫຼວງ| ເມືອງ~~ຫຼວງ %
ເມືອງເປລາ| ເມືອງ~~ເປລາ %
ເມືອງແມນ| ເມືອງ~~ແມນ %
ເມື່ອ| ເມື່ອ %
ເມື່ອຍ| ເມື່ອຍ %
ເມົາ| ເມົາ %
ເມົາມາຍ| ເມົາ~~ມາຍ %
ເຢຊຸອິດ| ເຢຊຸອິດ % name
ເຢຊູ| ເຢຊູ %
ເຢຍລະມັນ| ເຢຍລະມັນ %
ເຢຣູຊາເລັມ| ເຢຣູ­ຊາເລັມ % soft-hyphen
ເຢັນ| ເຢັນ %
ເຢັນຊາ| ເຢັນ~ຊາ %
ເຢີ້ຫຍິ່ງ| ເຢີ້ຫຍິ່ງ %
ເຢເຊເບນ| ເຢເຊເບນ %
ເຢເຣມີຢາ| ເຢເຣມີຢາ %
ເຢໂຮຊາຟັດ| ເຢໂຮຊາຟັດ %
ເລກ| ເລກ %
ເລຂາ| ເລຂາ %
ເລບານອນ| ເລບານອນ %
ເລວ| ເລວ %
ເລວຊາມ| ເລວ~ຊາມ %
ເລວີ| ເລວີ % name
ເລັກ| ເລັກ %
ເລັກນ້ອຍ| ເລັກ~~ນ້ອຍ %
ເລັກໜ້ອຍ| ເລັກ~~ໜ້ອຍ %
ເລັງ| ເລັງ %
ເລັງເຖິງ| ເລັງ~~ເຖິງ %
ເລັ່ງ| ເລັ່ງ %
ເລັ່ງລັດ| ເລັ່ງ~ລັດ %
ເລັ່ງເລົ້າ| ເລັ່ງ~~ເລົ້າ %
ເລິກ| ເລິກ %
ເລິກລັບ| ເລິກ~ລັບ %
ເລິກເຊິ່ງ| ເລິກ~ເຊິ່ງ %
ເລີກ| ເລີກ %
ເລີກລາ| ເລີກລາ %
ເລີຍ| ເລີຍ %
ເລີດ| ເລີດ %
ເລີດລ້ຳ| ເລີດ~~ລ້ຳ %
ເລີ່ມ| ເລີ່ມ %
ເລີ່ມຕົ້ນ| ເລີ່ມ~~ຕົ້ນ %
ເລືອກ| ເລືອກ %
ເລືອກສັນ| ເລືອກ~~ສັນ %
ເລືອກເຟັ້ນ| ເລືອກ~~ເຟັ້ນ %
ເລືອງນາມ| ເລືອງ~~ນາມ %
ເລືອດ| ເລືອດ %
ເລືອນລາງ| ເລືອນລາງ %
ເລື່ອງ| ເລື່ອງ %
ເລື່ອນ| ເລື່ອນ %
ເລື້ອຍ| ເລື້ອຍ %
ເລົ່າ| ເລົ່າ %
ເລົ່າລື| ເລົ່າ~~ລື %
ເລົ້າໂລມ| ເລົ້າ~ໂລມ %
ເລ່ລ່ຽມ| ເລ່!ລ່ຽມ %
ເວດທະນາ| ເວດທະນາ %
ເວດມົນ| ເວດມົນ %
ເວທີ| ເວທີ %
ເວລາ| ເວ!ລາ %
ເວສະລີ| ເວສະລີ % name
ເວຫາ| ເວຫາ %
ເວັນ| ເວັນ %
ເວັ້ນ| ເວັ້ນ %
ເວົ້າ| ເວົ້າ %
ເວົ້າຈາ| ເວົ້າ!ຈາ %
ເສຍ| ເສຍ %
ເສຍດາຍ| ເສຍ~ດາຍ %
ເສຍສະຕິ| ເສຍ~ສະຕິ %
ເສຍສະຫຼະ| ເສຍ~ສະຫຼະ %
ເສຍຫາຍ| ເສຍ~ຫາຍ %
ເສຍໃຈ| ເສຍ~~ໃຈ %
ເສດ| ເສດ %
ເສດຖະກິດ| ເສດຖະກິດ %
ເສຣາຟິມ| ເສຣາຟິມ %
ເສລີ| ເສລີ %
ເສລີພາບ| ເສລີພາບ %
ເສັດສິ້ນ| ເສັດ!ສິ້ນ %
ເສັ້ນ| ເສັ້ນ %
ເສັ້ນທາງ| ເສັ້ນ~~ທາງ %
ເສາະ| ເສາະ %
ເສິກ| ເສິກ %
ເສີຍ| ເສີຍ %
ເສີຍຊ້າ| ເສີຍ~ຊ້າ %
ເສີຍເມີຍ| ເສີຍ~ເມີຍ %
ເສີມ| ເສີມ %
ເສີມແຕ່ງ| ເສີມ~ແຕ່ງ %
ເສືອ| ເສືອ %
ເສື່ອ| ເສື່ອ %
ເສື່ອມ| ເສື່ອມ %
ເສື່ອມຊາມ| ເສື່ອມ~ຊາມ %
ເສື່ອມຖອຍ| ເສື່ອມ~ຖອຍ %
ເສື່ອມເສຍ| ເສື່ອມ~ເສຍ %
ເສື່ອມໂຊມ| ເສື່ອມ~ໂຊມ %
ເສື້ອ| ເສື້ອ %
ເສື້ອຄຸມ| ເສື້ອ~~ຄຸມ %
ເສື້ອຜ້າ| ເສື້ອ~~ຜ້າ %
ເສົາ| ເສົາ %
ເສົ້າ| ເສົ້າ %
ເສົ້າໂສກ| ເສົ້າ~ໂສກ %
ເສົ້າໝອງ| ເສົ້າ~ໝອງ %
ເສເພ| ເສເພ %
ເຫງົາ| ເຫງົາ %
ເຫງົາຫງອຍ| ເຫງົາ!ຫງອຍ %
ເຫງົ້າ| ເຫງົ້າ %
ເຫຍື່ອ| ເຫຍື່ອ %
ເຫດ| ເຫດ %
ເຫດການ| ເຫດ~ການ %
ເຫດຜົນ| ເຫດ~ຜົນ %
ເຫດສະນັ້ນ| ເຫດສະນັ້ນ %
ເຫດຮ້າຍ| ເຫດ~ຮ້າຍ %
ເຫວ| ເຫວ %
ເຫັນ| ເຫັນ %
ເຫັນຈິງ| ເຫັນ~ຈິງ %
ເຫັນຮຸ່ງ| ເຫັນ~ຮຸ່ງ %
ເຫັນແກ່| ເຫັນ~ແກ່ %
ເຫັນແກ່ຕົວ| ເຫັນ~ແກ່~~ຕົວ %
ເຫັບ| ເຫັບ %
ເຫິງ| ເຫິງ %
ເຫືອດແຫ້ງ| ເຫືອດ~~ແຫ້ງ %
ເຫື່ອ| ເຫື່ອ %
ເຫື່ອແຮງ| ເຫື່ອ~ແຮງ %
ເຫຼວໄຫຼ| ເຫຼວ~~ໄຫຼ %
ເຫຼັກ| ເຫຼັກ %
ເຫຼັ້ມ| ເຫຼັ້ມ %
ເຫຼາະແຫຼະ| ເຫຼາະ!ແຫຼະ %
ເຫຼືອ| ເຫຼືອ %
ເຫຼືອງ| ເຫຼືອງ %
ເຫຼືອຫຼໍ| ເຫຼືອ!ຫຼໍ %
ເຫຼື້ອມ| ເຫຼື້ອມ %
ເຫຼື້ອມໃສ| ເຫຼື້ອມ~ໃສ %
ເຫຼື້ອມໄສ| ເຫຼື້ອມໄສ %
ເຫຼົ່າ| ເຫຼົ່າ %
ເຫຼົ່ານັ້ນ| ເຫຼົ່າ~ນັ້ນ %
ເຫຼົ່ານີ້| ເຫຼົ່າ~ນີ້ %
ເຫຼົ້າ| ເຫຼົ້າ %
ເຫຼົ້າແວງ| ເຫຼົ້າ~ແວງ %
ເອ| ເອ %
ເອກ| ເອກ %
ເອກະລັກ| ເອກະລັກ %
ເອກະລາດ| ເອກະລາດ %
ເອກະສັນ| ເອກະສັນ %
ເອກະສານ| ເອກະສານ %
ເອງ| ເອງ %
ເອຊ| ເອຊ %
ເອຊະຣາ| ເອຊະຣາ % name
ເອຊາຢາ| ເອຊາຢາ % Isaiah, name
ເອຊາວ| ເອຊາວ % Esau
ເອທີໂອເປຍ| ເອທີໂອເປຍ %
ເອນ| ເອນ %
ເອນອ່ຽງ| ເອນອ່ຽງ %
ເອນົກ| ເອນົກ % Enoch
ເອມາອູດ| ເອມາອູດ % Emmaus
ເອຢິບ| ເອຢິບ % name
ເອລີຊາ| ເອລີຊາ %
ເອລີມາ| ເອລີມາ %
ເອລີຢາ| ເອລີຢາ % (name) Eliyah
ເອວາ| ເອວາ %
ເອສະເທີ| ເອສະເທີ % name
ເອັດ| ເອັດ %
ເອັນດູ| ເອັນດູ %
ເອິກ| ເອິກ %
ເອີຍ| ເອີຍ %
ເອີບານ| ເອີບານ % name of pope
ເອີຣົບ| ເອີຣົບ %
ເອີ້ຍ| ເອີ້ຍ %
ເອີ້ນ| ເອີ້ນ %
ເອື້ອ| ເອື້ອ %
ເອື້ອຍ| ເອື້ອຍ %
ເອື້ອມ| ເອື້ອມ %
ເອື້ອເຟື້ອເຜື່ອແຜ່| ເອື້ອ~ເຟື້ອ~~ເຜື່ອ~ແຜ່ %
ເອົາ| ເອົາ %
ເອົາຈິງເອົາຈັງ| ເອົາ~~ຈິງ~~ເອົາ~~ຈັງ %
ເອົາໃຈໃສ່| ເອົາ~~ໃຈ~~ໃສ່ %
ເອົາໃຈໃໝ່| ເອົາ~~ໃຈ~~ໃໝ່ %
ເອົ້າ| ເອົ້າ % exclamation of surprise
ເອເຊກຽນ| ເອເຊກຽນ % name
ເອເດນ| ເອເດນ % Eden
ເອເຟໂຊ| ເອເຟໂຊ % name
ເອໂດມ| ເອໂດມ %
ເອ່ນ| ເອ່ນ %
ເຮນຣີ| ເຮນຣີ % name
ເຮຮາ| ເຮຮາ %
ເຮັດ| ເຮັດ %
ເຮັດບຸນສຸນທານ| ເຮັດ~~ບຸນ~ສຸນ~ທານ %
ເຮັດວຽກ| ເຮັດ~~ວຽກ %
ເຮັບເຣີ| ເຮັບເຣີ % name
ເຮືອ| ເຮືອ %
ເຮືອງ| ເຮືອງ %
ເຮືອນ| ເຮືອນ %
ເຮືອນຊານ| ເຮືອນ~~ຊານ %
ເຮືອບັກ| ເຮືອ~~ບັກ %
ເຮົາ| ເຮົາ %
ເຮເຊກີຢາ| ເຮເຊກີຢາ %
ເຮໂຣດ| ເຮໂຣດ % name
ເຮໂຣເດຍ| ເຮໂຣເດຍ %
ເໜືອ| ເໜືອ %
ເໜືອທຳມະຊາດ| ເໜືອ~~ທຳ­ມະຊາດ % soft-hyphen
ເໝັນ| ເໝັນ %
ເໝາະ| ເໝາະ %
ເໝາະສົມ| ເໝາະສົມ %
ເໝືອງ| ເໝືອງ %
ເໝືອນ| ເໝືອນ %
ເໝົາ| ເໝົາ %
ແກ| ແກ % trumpet
ແກນນຳ| ແກນ~ນຳ %
ແກບ| ແກບ %
ແກວ່ງ| ແກວ່ງ %
ແກະ| ແກະ %
ແກ່| ແກ່ %
